division,month,yhat,yhat_lower,yhat_upper
Divisi Kapal Niaga,2026-03-01,0.0,0.0,0.151339487079991
Divisi Kapal Niaga,2026-04-01,0.0,0.0,0.16090741260981767
Divisi Kapal Niaga,2026-05-01,0.0,0.0,0.11795767064045394
Divisi Pemasaran & Penjualan,2026-03-01,0.0,0.0,0.2218347896236621
Divisi Pemasaran & Penjualan,2026-04-01,0.0,0.0,0.22441694012236296
Divisi Pemasaran & Penjualan,2026-05-01,0.0,0.0,0.18772729625097745
Divisi Teknologi Informasi,2026-03-01,0.0,0.0,0.14528751788507932
Divisi Teknologi Informasi,2026-04-01,0.0,0.0,0.1602744672379175
Divisi Teknologi Informasi,2026-05-01,0.0,0.0,0.15233583595041236
Sekretaris Perusahaan,2026-03-01,0.0,0.0,0.1490188633580924
Sekretaris Perusahaan,2026-04-01,0.0,0.0,0.15631355595319707
Sekretaris Perusahaan,2026-05-01,0.0,0.0,0.1316644267668543
